tokenizer,mean,p50,p90,p95,p99,max,%>2048,%>4096,%>8192
llama,790.4,439,1595,2510,6508,8530,6.57,2.02,0.17
qwen,799.3,436,1599,2513,6667,9894,6.73,2.36,0.34
